seed,perturbation,agent,steps,survived,energy_final,resources_collected,hazards_hit,calibrations,viability,contradiction_load,reliability_mean,reliability_min
12345,control,A_predictor_only,150,1,65.0,9,6,0,270.25,0.0,1.0,1.0
12346,control,A_predictor_only,150,1,65.0,9,3,0,297.25,0.0,1.0,1.0
12347,control,A_predictor_only,150,1,65.0,9,3,0,297.25,0.0,1.0,1.0
12348,control,A_predictor_only,150,1,65.0,9,2,0,306.25,0.0,1.0,1.0
12349,control,A_predictor_only,150,1,65.0,9,3,0,297.25,0.0,1.0,1.0
12350,control,A_predictor_only,150,1,65.0,9,5,0,279.25,0.0,1.0,1.0
12351,control,A_predictor_only,150,1,65.0,9,6,0,270.25,0.0,1.0,1.0
12352,control,A_predictor_only,150,1,65.0,9,0,0,324.25,0.0,1.0,1.0
12353,control,A_predictor_only,150,1,65.0,9,3,0,297.25,0.0,1.0,1.0
12354,control,A_predictor_only,150,1,23.0,6,3,0,250.75,0.0,1.0,1.0
12355,control,A_predictor_only,150,1,65.0,9,4,0,288.25,0.0,1.0,1.0
12356,control,A_predictor_only,150,1,65.0,9,2,0,306.25,0.0,1.0,1.0
12357,control,A_predictor_only,150,1,65.0,9,3,0,297.25,0.0,1.0,1.0
12358,control,A_predictor_only,150,1,65.0,9,6,0,270.25,0.0,1.0,1.0
12359,control,A_predictor_only,150,1,65.0,9,4,0,288.25,0.0,1.0,1.0
12360,control,A_predictor_only,150,1,65.0,9,8,0,252.25,0.0,1.0,1.0
12361,control,A_predictor_only,150,1,65.0,9,5,0,279.25,0.0,1.0,1.0
12362,control,A_predictor_only,150,1,8.0,4,16,0,106.0,0.0,1.0,1.0
12363,control,A_predictor_only,150,1,65.0,9,7,0,261.25,0.0,1.0,1.0
12364,control,A_predictor_only,150,1,65.0,9,4,0,288.25,0.0,1.0,1.0
12365,control,A_predictor_only,150,1,65.0,9,3,0,297.25,0.0,1.0,1.0
12366,control,A_predictor_only,150,1,65.0,9,8,0,252.25,0.0,1.0,1.0
12367,control,A_predictor_only,150,1,65.0,9,4,0,288.25,0.0,1.0,1.0
12368,control,A_predictor_only,150,1,65.0,9,7,0,261.25,0.0,1.0,1.0
12369,control,A_predictor_only,150,1,65.0,9,5,0,279.25,0.0,1.0,1.0
12370,control,A_predictor_only,150,1,65.0,9,5,0,279.25,0.0,1.0,1.0
12371,control,A_predictor_only,150,1,65.0,9,2,0,306.25,0.0,1.0,1.0
12372,control,A_predictor_only,150,1,65.0,9,7,0,261.25,0.0,1.0,1.0
12373,control,A_predictor_only,150,1,65.0,9,1,0,315.25,0.0,1.0,1.0
12374,control,A_predictor_only,150,1,65.0,9,3,0,297.25,0.0,1.0,1.0
12375,control,A_predictor_only,150,1,65.0,9,3,0,297.25,0.0,1.0,1.0
12376,control,A_predictor_only,150,1,65.0,9,4,0,288.25,0.0,1.0,1.0
12377,control,A_predictor_only,150,1,65.0,9,3,0,297.25,0.0,1.0,1.0
12378,control,A_predictor_only,30,0,-3.0,7,7,0,51.0,0.0,1.0,1.0
12379,control,A_predictor_only,38,0,0.0,7,4,0,86.0,0.0,1.0,1.0
12380,control,A_predictor_only,34,0,-11.0,7,5,0,73.0,0.0,1.0,1.0
12381,control,A_predictor_only,150,1,65.0,9,7,0,261.25,0.0,1.0,1.0
12382,control,A_predictor_only,150,1,65.0,9,3,0,297.25,0.0,1.0,1.0
12383,control,A_predictor_only,150,1,65.0,9,4,0,288.25,0.0,1.0,1.0
12384,control,A_predictor_only,150,1,65.0,9,6,0,270.25,0.0,1.0,1.0
12385,control,A_predictor_only,150,1,65.0,9,3,0,297.25,0.0,1.0,1.0
12386,control,A_predictor_only,150,1,22.0,8,6,0,247.5,0.0,1.0,1.0
12387,control,A_predictor_only,150,1,65.0,9,6,0,270.25,0.0,1.0,1.0
12388,control,A_predictor_only,150,1,65.0,9,4,0,288.25,0.0,1.0,1.0
12389,control,A_predictor_only,51,0,0.0,7,6,0,81.0,0.0,1.0,1.0
12390,control,A_predictor_only,48,0,0.0,8,7,0,81.0,0.0,1.0,1.0
12391,control,A_predictor_only,150,1,65.0,9,1,0,315.25,0.0,1.0,1.0
12392,control,A_predictor_only,150,1,65.0,9,2,0,306.25,0.0,1.0,1.0
12393,control,A_predictor_only,150,1,65.0,9,2,0,306.25,0.0,1.0,1.0
12394,control,A_predictor_only,150,1,65.0,9,6,0,270.25,0.0,1.0,1.0
12395,control,A_predictor_only,150,1,65.0,9,7,0,261.25,0.0,1.0,1.0
12396,control,A_predictor_only,46,0,-7.0,8,10,0,52.0,0.0,1.0,1.0
12397,control,A_predictor_only,150,1,65.0,9,5,0,279.25,0.0,1.0,1.0
12398,control,A_predictor_only,150,1,65.0,9,5,0,279.25,0.0,1.0,1.0
12399,control,A_predictor_only,150,1,65.0,9,8,0,252.25,0.0,1.0,1.0
12400,control,A_predictor_only,150,1,65.0,9,5,0,279.25,0.0,1.0,1.0
12401,control,A_predictor_only,150,1,22.0,8,4,0,265.5,0.0,1.0,1.0
12402,control,A_predictor_only,150,1,65.0,9,4,0,288.25,0.0,1.0,1.0
12403,control,A_predictor_only,150,1,65.0,9,7,0,261.25,0.0,1.0,1.0
12404,control,A_predictor_only,150,1,65.0,9,5,0,279.25,0.0,1.0,1.0
12405,control,A_predictor_only,150,1,65.0,9,6,0,270.25,0.0,1.0,1.0
12406,control,A_predictor_only,150,1,65.0,9,6,0,270.25,0.0,1.0,1.0
12407,control,A_predictor_only,150,1,65.0,9,5,0,279.25,0.0,1.0,1.0
12408,control,A_predictor_only,150,1,65.0,9,2,0,306.25,0.0,1.0,1.0
12409,control,A_predictor_only,150,1,65.0,9,5,0,279.25,0.0,1.0,1.0
12410,control,A_predictor_only,150,1,65.0,9,5,0,279.25,0.0,1.0,1.0
12411,control,A_predictor_only,150,1,65.0,9,5,0,279.25,0.0,1.0,1.0
12412,control,A_predictor_only,43,0,0.0,8,5,0,94.0,0.0,1.0,1.0
