agent,perturbation,seed,viability,survival_steps,survived,collected,hazards_hit,final_energy,calibrations_env,scans_env,contradictions,calibrations_agent,scans_agent,repairs,r_global_mean,r_self_mean,r_sensor_mean,r_map_mean
A_predictor_only,control,9101,322.06,170,1,8,0,23.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9102,276.17,170,1,4,0,23.5,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9103,379.72,170,1,12,0,76.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9104,230.94,170,1,0,0,27.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9105,310.56,170,1,7,0,23.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9106,333.78,170,1,9,0,24.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9107,365.64,170,1,12,0,12.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9108,322.28,170,1,8,0,24.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9109,288.0,170,1,5,0,25.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9110,379.72,170,1,12,0,76.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9111,255.0,117,0,12,0,0.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9112,275.62,170,1,4,0,21.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9113,356.78,170,1,11,0,24.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9114,253.06,170,1,2,0,23.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9115,322.39,170,1,8,0,24.5,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9116,139.0,93,0,4,0,0.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9117,276.5,170,1,4,0,25.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9118,241.78,170,1,1,0,24.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9119,150.5,93,0,5,0,0.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9120,370.04,170,1,12,0,32.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9121,142.0,96,0,4,0,0.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9122,230.94,170,1,0,0,27.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9123,299.72,170,1,6,0,26.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9124,230.94,170,1,0,0,27.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9125,288.0,170,1,5,0,25.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9126,346.6,170,1,10,0,30.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9127,264.12,170,1,3,0,21.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9128,230.94,170,1,0,0,27.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9129,355.4,170,1,10,0,70.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9130,242.44,170,1,1,0,27.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9131,321.62,170,1,8,0,21.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9132,256.0,164,0,8,0,0.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9133,311.22,170,1,7,0,26.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9134,132.0,86,0,4,0,0.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9135,379.72,170,1,12,0,76.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9136,249.5,123,0,11,0,0.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
