perturbation,agent,viability_mean,viability_std,viability_count,survival_steps_mean,survival_steps_std,survival_steps_count,survived_mean,survived_std,survived_count,collected_mean,collected_std,collected_count,hazards_hit_mean,hazards_hit_std,hazards_hit_count,final_energy_mean,final_energy_std,final_energy_count,calibrations_env_mean,calibrations_env_std,calibrations_env_count,scans_env_mean,scans_env_std,scans_env_count,contradictions_mean,contradictions_std,contradictions_count,calibrations_agent_mean,calibrations_agent_std,calibrations_agent_count,scans_agent_mean,scans_agent_std,scans_agent_count,repairs_mean,repairs_std,repairs_count,r_global_mean_mean,r_global_mean_std,r_global_mean_count,r_self_mean_mean,r_self_mean_std,r_self_mean_count,r_sensor_mean_mean,r_sensor_mean_std,r_sensor_mean_count,r_map_mean_mean,r_map_mean_std,r_map_mean_count
control,A_predictor_only,270.60325,63.55466313442081,240,156.81666666666666,27.876290771348298,240,0.7916666666666666,0.40696516013298256,240,5.695833333333334,3.648118580464035,240,0.0,0.0,240,21.558333333333334,16.222715534171517,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,1.0,0.0,240,1.0,0.0,240,1.0,0.0,240,1.0,0.0,240
control,B_self_model_no_reliability,276.1625833333334,72.42503858046713,240,155.3625,29.35409720997312,240,0.7791666666666667,0.4156752500794236,240,6.970833333333333,3.7387464803156303,240,0.7916666666666666,0.8423501029591964,240,25.6625,22.779657894874788,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,1.0,0.0,240,1.0,0.0,240,1.0,0.0,240,1.0,0.0,240
control,C_scalar_mirror_reliability,268.8064166666667,61.838622489973524,240,157.475,27.29705257894904,240,0.7916666666666666,0.4069651601329824,240,5.491666666666666,3.392079954190443,240,0.0,0.0,240,21.070833333333333,15.577488294396636,240,0.0,0.0,240,0.0,0.0,240,0.37624643874643876,0.2678724604858689,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,0.9997214953971648,0.00019888574368103984,240,0.9997214953971648,0.00019888574368103984,240,0.9997214953971648,0.00019888574368103984,240,0.9997214953971648,0.00019888574368103984,240
control,D_decomposed_mirror_reliability,274.59154166666667,67.7295867540996,240,156.80416666666667,27.907332897075143,240,0.775,0.4184550185031363,240,6.108333333333333,3.5448019185226793,240,0.0,0.0,240,22.347916666666666,17.990083153667516,240,0.0,0.0,240,0.0,0.0,240,0.41499287749287755,0.28099748840442057,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,0.999984062839083,2.9644131411502407e-05,240,0.9999665319620745,6.225267596419109e-05,240,0.9999856565551748,2.667971827040453e-05,240,1.0,0.0,240
false_energy,A_predictor_only,182.407625,67.44556572036412,240,111.42916666666666,32.89369182146854,240,0.20833333333333334,0.40696516013298273,240,5.05,3.3557544406748225,240,0.0,0.0,240,6.566666666666666,15.383035993385036,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,1.0,0.0,240,1.0,0.0,240,1.0,0.0,240,1.0,0.0,240
false_energy,B_self_model_no_reliability,216.58570833333334,97.93301414613568,240,121.84583333333333,38.020655905090294,240,0.3375,0.473845215975564,240,7.179166666666666,3.880697772595996,240,1.025,1.1163486505673,240,16.810416666666665,29.41800347909347,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,1.0,0.0,240,1.0,0.0,240,1.0,0.0,240,1.0,0.0,240
false_energy,C_scalar_mirror_reliability,182.452375,74.88605813303285,240,108.84166666666667,32.3481313819695,240,0.19583333333333333,0.39767016743044253,240,5.333333333333333,3.438237685522605,240,0.0,0.0,240,6.847916666666666,16.81908397029163,240,0.0,0.0,240,0.0,0.0,240,0.31745014245014247,0.22073464073188892,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,0.9996747316028248,0.00018778448280315428,240,0.9996747316028248,0.00018778448280315428,240,0.9996747316028248,0.00018778448280315428,240,0.9996747316028248,0.00018778448280315428,240
false_energy,D_decomposed_mirror_reliability,182.96354166666666,75.19877174755818,240,110.52916666666667,33.93260585172356,240,0.22916666666666666,0.4211750514795982,240,5.054166666666666,3.299737426686662,240,0.0,0.0,240,7.760416666666667,17.173611892445837,240,0.0,0.0,240,0.0,0.0,240,0.3025819088319089,0.21852413916480398,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,0.99999534942182,1.8847278190825205e-05,240,0.999990233785822,3.9579284200738343e-05,240,0.999995814479638,1.6962550371759632e-05,240,1.0,0.0,240
false_location,A_predictor_only,124.04041666666667,67.08406085461856,240,79.69583333333334,29.746684765411675,240,0.058333333333333334,0.23486249278256213,240,4.875,3.0479089477828722,240,1.5416666666666667,1.296250358930133,240,-0.6125,12.17763614893023,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,1.0,0.0,240,1.0,0.0,240,1.0,0.0,240,1.0,0.0,240
false_location,B_self_model_no_reliability,131.47566666666665,64.20310802358733,240,82.85,29.47437721367308,240,0.05416666666666667,0.2268193144216342,240,5.4375,3.06216109046096,240,1.7208333333333334,1.3542059590909272,240,-1.03125,8.321725265933358,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,1.0,0.0,240,1.0,0.0,240,1.0,0.0,240,1.0,0.0,240
