agent,condition,seed,survived,completed,survival_time,resources_collected,final_energy,damage,repair_spend,repair_count,relocalizations,calibrations,map_checks,unnecessary_repairs,contradictions,mean_self_error,viability
A_no_reliability,control,12345,1,1,41,4,119.0,0.0,0.0,0,0,0,0,0,0,0.2926829268292683,180.85
A_no_reliability,control,12362,1,1,23,4,137.0,0.0,0.0,0,0,0,0,0,0,0.0,165.55
A_no_reliability,control,12379,1,1,19,4,141.0,0.0,0.0,0,0,0,0,0,0,0.0,162.15
A_no_reliability,control,12396,1,1,25,4,135.0,0.0,0.0,0,0,0,0,0,0,0.12,167.25
A_no_reliability,control,12413,1,1,43,4,107.0,1.0,0.0,0,0,0,0,0,0,0.046511627906976744,167.05
A_no_reliability,control,12430,1,1,20,4,140.0,0.0,0.0,0,0,0,0,0,0,0.0,163.0
A_no_reliability,control,12447,1,1,27,4,123.0,1.0,0.0,0,0,0,0,0,0,0.07407407407407407,153.45
A_no_reliability,control,12464,1,1,26,4,134.0,0.0,0.0,0,0,0,0,0,0,0.15384615384615385,168.1
A_no_reliability,control,12481,1,1,22,4,138.0,0.0,0.0,0,0,0,0,0,0,0.0,164.7
A_no_reliability,control,12498,1,1,26,4,134.0,0.0,0.0,0,0,0,0,0,0,0.34615384615384615,168.1
A_no_reliability,control,12515,1,1,40,4,120.0,0.0,0.0,0,0,0,0,0,0,0.075,180.0
A_no_reliability,control,12532,1,1,26,4,134.0,0.0,0.0,0,0,0,0,0,0,0.0,168.1
A_no_reliability,control,12549,1,1,25,4,135.0,0.0,0.0,0,0,0,0,0,0,0.04,167.25
A_no_reliability,control,12566,1,1,23,4,137.0,0.0,0.0,0,0,0,0,0,0,0.08695652173913043,165.55
A_no_reliability,control,12583,1,1,31,4,129.0,0.0,0.0,0,0,0,0,0,0,0.25806451612903225,172.35
A_no_reliability,control,12600,1,1,44,4,106.0,1.0,0.0,0,0,0,0,0,0,0.09090909090909091,167.9
A_no_reliability,control,12617,1,1,29,4,131.0,0.0,0.0,0,0,0,0,0,0,0.3103448275862069,170.65
A_no_reliability,control,12634,1,1,25,4,135.0,0.0,0.0,0,0,0,0,0,0,0.04,167.25
A_no_reliability,control,12651,1,1,39,4,121.0,0.0,0.0,0,0,0,0,0,0,0.02564102564102564,179.15
A_no_reliability,control,12668,1,1,17,4,143.0,0.0,0.0,0,0,0,0,0,0,0.0,160.45
A_no_reliability,control,12685,1,1,18,4,132.0,1.0,0.0,0,0,0,0,0,0,0.0,145.8
A_no_reliability,control,12702,1,1,34,4,116.0,1.0,0.0,0,0,0,0,0,0,0.11764705882352941,159.4
A_no_reliability,control,12719,1,1,29,4,131.0,0.0,0.0,0,0,0,0,0,0,0.10344827586206896,170.65
A_no_reliability,control,12736,1,1,27,4,123.0,1.0,0.0,0,0,0,0,0,0,0.037037037037037035,153.45
A_no_reliability,control,12753,1,1,28,4,132.0,0.0,0.0,0,0,0,0,0,0,0.07142857142857142,169.8
A_no_reliability,control,12770,1,1,24,4,136.0,0.0,0.0,0,0,0,0,0,0,0.0,166.4
A_no_reliability,control,12787,1,1,33,4,127.0,0.0,0.0,0,0,0,0,0,0,0.030303030303030304,174.05
A_no_reliability,control,12804,1,1,33,4,117.0,1.0,0.0,0,0,0,0,0,0,0.06060606060606061,158.55
A_no_reliability,control,12821,1,1,47,4,103.0,1.0,0.0,0,0,0,0,0,0,0.574468085106383,170.45
A_no_reliability,control,12838,1,1,22,4,128.0,1.0,0.0,0,0,0,0,0,0,0.2727272727272727,149.2
A_no_reliability,control,12855,1,1,30,4,130.0,0.0,0.0,0,0,0,0,0,0,0.03333333333333333,171.5
A_no_reliability,control,12872,1,1,27,4,133.0,0.0,0.0,0,0,0,0,0,0,0.25925925925925924,168.95
A_no_reliability,control,12889,1,1,21,4,139.0,0.0,0.0,0,0,0,0,0,0,0.0,163.85
A_no_reliability,control,12906,1,1,36,4,104.0,2.0,0.0,0,0,0,0,0,0,0.4166666666666667,145.6
A_no_reliability,control,12923,1,1,35,4,125.0,0.0,0.0,0,0,0,0,0,0,0.02857142857142857,175.75
A_no_reliability,control,12940,1,1,25,4,135.0,0.0,0.0,0,0,0,0,0,0,0.72,167.25
A_no_reliability,control,12957,1,1,32,4,128.0,0.0,0.0,0,0,0,0,0,0,0.0,173.2
A_no_reliability,control,12974,1,1,32,4,128.0,0.0,0.0,0,0,0,0,0,0,0.28125,173.2
A_no_reliability,control,12991,1,1,21,4,129.0,1.0,0.0,0,0,0,0,0,0,0.09523809523809523,148.35
A_no_reliability,control,13008,1,1,17,4,143.0,0.0,0.0,0,0,0,0,0,0,0.0,160.45
A_no_reliability,control,13025,1,1,20,4,140.0,0.0,0.0,0,0,0,0,0,0,0.05,163.0
A_no_reliability,control,13042,1,1,22,4,128.0,1.0,0.0,0,0,0,0,0,0,0.09090909090909091,149.2
A_no_reliability,control,13059,1,1,16,4,144.0,0.0,0.0,0,0,0,0,0,0,0.0,159.6
A_no_reliability,control,13076,1,1,21,4,139.0,0.0,0.0,0,0,0,0,0,0,0.047619047619047616,163.85
A_no_reliability,control,13093,1,1,27,4,123.0,1.0,0.0,0,0,0,0,0,0,0.1111111111111111,153.45
A_no_reliability,control,13110,1,1,30,4,130.0,0.0,0.0,0,0,0,0,0,0,0.0,171.5
A_no_reliability,control,13127,1,1,15,4,145.0,0.0,0.0,0,0,0,0,0,0,0.06666666666666667,158.75
A_no_reliability,control,13144,1,1,23,4,137.0,0.0,0.0,0,0,0,0,0,0,0.0,165.55
A_no_reliability,control,13161,1,1,36,4,114.0,1.0,0.0,0,0,0,0,0,0,0.19444444444444445,161.1
A_no_reliability,control,13178,1,1,40,4,120.0,0.0,0.0,0,0,0,0,0,0,0.3,180.0
A_no_reliability,control,13195,1,1,34,4,126.0,0.0,0.0,0,0,0,0,0,0,0.08823529411764706,174.9
A_no_reliability,control,13212,1,1,27,4,133.0,0.0,0.0,0,0,0,0,0,0,0.037037037037037035,168.95
A_no_reliability,control,13229,1,1,19,4,141.0,0.0,0.0,0,0,0,0,0,0,0.0,162.15
A_no_reliability,control,13246,1,1,16,4,144.0,0.0,0.0,0,0,0,0,0,0,0.625,159.6
A_no_reliability,control,13263,1,1,25,4,135.0,0.0,0.0,0,0,0,0,0,0,0.0,167.25
A_no_reliability,control,13280,1,1,26,4,124.0,1.0,0.0,0,0,0,0,0,0,0.0,152.6
