condition,agent,viability_mean,viability_std,viability_count,survival_time_mean,survival_time_std,survival_time_count,survived_mean,survived_std,survived_count,completed_mean,completed_std,completed_count,resources_collected_mean,resources_collected_std,resources_collected_count,damage_mean,damage_std,damage_count,repair_spend_mean,repair_spend_std,repair_spend_count,repair_count_mean,repair_count_std,repair_count_count,contradictions_mean,contradictions_std,contradictions_count,mean_self_error_mean,mean_self_error_std,mean_self_error_count,unnecessary_repairs_mean,unnecessary_repairs_std,unnecessary_repairs_count
control,A_no_reliability,164.81650000000002,9.685210076250572,200,27.79,7.348872678733877,200,1.0,0.0,200,1.0,0.0,200,4.0,0.0,200,0.31,0.6449650374225628,200,0.0,0.0,200,0.0,0.0,200,0.0,0.0,200,0.1137709668124128,0.16304641393698627,200,0.0,0.0,200
control,B_passive_reliability,161.73075,22.689327221987693,200,28.865,11.414826601033335,200,0.995,0.07071067811865475,200,0.98,0.14035131799278394,200,3.96,0.29806747743678386,200,0.28,0.5685209586303833,200,0.0,0.0,200,0.0,0.0,200,1.955,10.171048428291616,200,0.20474751157240983,0.7274383426530866,200,0.0,0.0,200
control,C_threshold_repair,122.18700000000001,56.85012357729547,200,32.685,11.055173417748017,200,0.57,0.4963181019179709,200,0.57,0.4963181019179709,200,2.91,1.453431220098766,200,0.14,0.4138312233351118,200,46.9,43.12969805448859,200,11.725,10.782424513622148,200,0.535,0.9609328591524984,200,0.09225707538737782,0.11685394411364747,200,11.445,10.74402837527169,200
control,D_cost_sensitive_mirror,164.3226,10.435451811616153,200,28.34,6.5795785785532495,200,1.0,0.0,200,1.0,0.0,200,4.0,0.0,200,0.31,0.5879014719351515,200,0.28,1.0989259260545148,200,0.07,0.2747314815136287,200,0.605,1.0218590802549525,200,0.12094702425148487,0.16974290411813128,200,0.0,0.0,200
false_self_location,A_no_reliability,118.777,62.317512448660416,200,50.56,18.172716863225343,200,0.685,0.46568153976984306,200,0.65,0.4781665150137575,200,3.39,0.9964257732556098,200,2.97,1.756280903803639,200,0.0,0.0,200,0.0,0.0,200,0.0,0.0,200,2.6954709731217856,0.48823921679753607,200,0.0,0.0,200
false_self_location,B_passive_reliability,16.566,81.7472812020045,200,51.98,25.923730422047193,200,0.38,0.4866044796320621,200,0.27,0.4450735357907797,200,1.42,1.6815881462080233,200,1.25,1.8855440546191293,200,0.0,0.0,200,0.0,0.0,200,43.685,26.874092715782655,200,3.506544381918516,2.3319963609512304,200,0.0,0.0,200
false_self_location,C_threshold_repair,109.38045,56.14135854245478,200,38.93,12.029072822326087,200,0.645,0.479714110841763,200,0.645,0.479714110841763,200,3.1,1.424833588096815,200,0.725,0.8736080097926469,200,49.86,27.054763000348487,200,12.465,6.763690750087122,200,10.81,4.062810869435596,200,1.042577357782478,0.29153076100021325,200,4.86,5.647999601406451,200
false_self_location,D_cost_sensitive_mirror,145.1095,17.264390043318617,200,38.315,10.824120422213198,200,0.99,0.09974842727441163,200,0.99,0.09974842727441163,200,3.99,0.09974842727441174,200,0.86,0.972175718757007,200,15.3,6.230900464861806,200,3.825,1.5577251162154515,200,11.14,4.0499891432325485,200,1.1166695497017995,0.3063223372456851,200,0.0,0.0,200
map_corruption,A_no_reliability,123.7525,54.92283594545584,200,41.7,13.761427412231285,200,0.75,0.43409931012992464,200,0.75,0.43409931012992464,200,3.57,0.871145494370377,200,2.62,1.7351234153026855,200,0.0,0.0,200,0.0,0.0,200,0.0,0.0,200,0.33287555560935317,0.22155281169287708,200,0.0,0.0,200
map_corruption,B_passive_reliability,93.19075000000001,71.19961959935576,200,43.29,19.104733818385352,200,0.675,0.4695501963950961,200,0.6,0.49112730544203465,200,3.195,1.1891363362250156,200,2.665,1.7997138242637996,200,0.0,0.0,200,0.0,0.0,200,11.685,20.144597265643583,200,1.067898545940593,1.7005574425500154,200,0.0,0.0,200
map_corruption,C_threshold_repair,114.75375,55.180148189439876,200,37.5,12.811740846488735,200,0.54,0.4996481173846552,200,0.54,0.4996481173846552,200,2.895,1.426234808382973,200,0.485,0.7892334554719415,200,53.8,33.17139895365756,200,13.45,8.29284973841439,200,3.125,2.329486539495011,200,0.3228971669058276,0.22901279466716584,200,9.135,8.435196363360024,200
map_corruption,D_cost_sensitive_mirror,158.68205,15.690035800296085,200,37.99,12.526550696892143,200,0.995,0.07071067811865475,200,0.995,0.07071067811865475,200,3.995,0.07071067811865468,200,0.71,0.9594282216835266,200,21.04,6.784433853577456,200,5.26,1.696108463394364,200,2.88,2.179299597042211,200,0.3277064709757455,0.2118705993410722,200,0.735,0.8049938356142141,200
mixed_high_cost,A_no_reliability,90.742,67.13173586914031,200,49.27,17.421095627552294,200,0.515,0.5010290917239926,200,0.475,0.5006277466376765,200,2.91,1.2688379521214357,200,3.6,1.5400841848686102,200,0.0,0.0,200,0.0,0.0,200,0.0,0.0,200,2.1479994686994974,0.47476297489360963,200,0.0,0.0,200
mixed_high_cost,B_passive_reliability,-9.9625,66.00845722995953,200,50.93,23.196453983032292,200,0.24,0.42815485856705265,200,0.15,0.3579674615346874,200,1.175,1.4193122405520584,200,2.765,1.9178544859153752,200,0.0,0.0,200,0.0,0.0,200,38.935,22.822249018255327,200,3.564581462190739,2.26566135213733,200,0.0,0.0,200
mixed_high_cost,C_threshold_repair,44.95015,46.43694021531027,200,24.165,9.479296403294265,200,0.13,0.33714735904132903,200,0.13,0.33714735904132903,200,1.655,1.3583817596777152,200,0.58,0.785291931122068,200,81.62,16.989668749599133,200,7.42,1.5445153408726493,200,7.405,2.771167959416476,200,1.3045964818913072,0.5438550016068014,200,1.225,1.4542866803844827,200
mixed_high_cost,D_cost_sensitive_mirror,69.64235000000001,63.83983657283067,200,44.225,13.601816867997922,200,0.535,0.5000251249968753,200,0.535,0.5000251249968753,200,2.965,1.3276249243285894,200,2.79,1.602730082887623,200,27.28,10.4010822784369,200,2.48,0.9455529344033544,200,17.5,5.098033910121011,200,1.543804089977778,0.7038022278551724,200,0.0,0.0,200
mixed_low_cost,A_no_reliability,85.36775,65.0035557391375,200,48.86,18.545080210125818,200,0.44,0.4976325863071809,200,0.42,0.49479704991341156,200,2.87,1.1917218656318782,200,3.785,1.500008375185999,200,0.0,0.0,200,0.0,0.0,200,0.0,0.0,200,2.1238827347915104,0.4050953014720761,200,0.0,0.0,200
mixed_low_cost,B_passive_reliability,-8.59425,67.75958853646215,200,50.155,23.416288944657705,200,0.255,0.43695497278461765,200,0.16,0.36752602205071433,200,1.23,1.4689756455558343,200,2.93,1.769393616142044,200,0.0,0.0,200,0.0,0.0,200,37.095,22.389785337005485,200,3.3325766182691927,2.2775904615919087,200,0.0,0.0,200
mixed_low_cost,C_threshold_repair,113.90764999999999,51.13836287726007,200,45.445,13.107478972904197,200,0.7,0.4594075275633929,200,0.7,0.4594075275633929,200,3.26,1.3118708111417172,200,1.035,1.0143567409890615,200,47.145,21.80069555388464,200,15.715,7.266898517961549,200,12.78,4.268807042703992,200,1.1548460958799627,0.2732429162275987,200,4.065,5.208301741947741,200
mixed_low_cost,D_cost_sensitive_mirror,136.1409,29.429597640409256,200,46.805,13.214008669802974,200,0.935,0.24714449621638399,200,0.935,0.24714449621638399,200,3.87,0.5698452580222565,200,1.195,1.1104686864192022,200,36.045,11.394831544592847,200,12.015,3.79827718153095,200,13.12,4.328890906734895,200,1.1643734123789466,0.2701848331625814,200,1.7,1.333752028062866,200
