agent,perturb_rate,repair_cost,threshold,viability_mean,viability_sem,survival_rate,success_rate,mean_steps,mean_hazard_hits,mean_repairs,mean_self_error,mean_reliability,n,baseline_viability,baseline_survival,baseline_success,baseline_self_error,baseline_hazard_hits,delta_viability,delta_survival
mirror,0.0,0,0.35,129.3,6.025390348477004e-15,1.0,1.0,18.0,0.0,0.0,0.0,1.0,90,129.3,1.0,1.0,0.0,0.0,0.0,0.0
mirror,0.0,0,0.5,129.3,6.025390348477004e-15,1.0,1.0,18.0,0.0,0.0,0.0,1.0,90,129.3,1.0,1.0,0.0,0.0,0.0,0.0
mirror,0.0,0,0.65,129.3,6.025390348477004e-15,1.0,1.0,18.0,0.0,0.0,0.0,1.0,90,129.3,1.0,1.0,0.0,0.0,0.0,0.0
mirror,0.0,0,0.8,129.3,6.025390348477004e-15,1.0,1.0,18.0,0.0,0.0,0.0,1.0,90,129.3,1.0,1.0,0.0,0.0,0.0,0.0
mirror,0.0,2,0.35,129.3,6.025390348477004e-15,1.0,1.0,18.0,0.0,0.0,0.0,1.0,90,129.3,1.0,1.0,0.0,0.0,0.0,0.0
mirror,0.0,2,0.5,129.3,6.025390348477004e-15,1.0,1.0,18.0,0.0,0.0,0.0,1.0,90,129.3,1.0,1.0,0.0,0.0,0.0,0.0
mirror,0.0,2,0.65,129.3,6.025390348477004e-15,1.0,1.0,18.0,0.0,0.0,0.0,1.0,90,129.3,1.0,1.0,0.0,0.0,0.0,0.0
mirror,0.0,2,0.8,129.3,6.025390348477004e-15,1.0,1.0,18.0,0.0,0.0,0.0,1.0,90,129.3,1.0,1.0,0.0,0.0,0.0,0.0
mirror,0.0,4,0.35,129.3,6.025390348477004e-15,1.0,1.0,18.0,0.0,0.0,0.0,1.0,90,129.3,1.0,1.0,0.0,0.0,0.0,0.0
mirror,0.0,4,0.5,129.3,6.025390348477004e-15,1.0,1.0,18.0,0.0,0.0,0.0,1.0,90,129.3,1.0,1.0,0.0,0.0,0.0,0.0
mirror,0.0,4,0.65,129.3,6.025390348477004e-15,1.0,1.0,18.0,0.0,0.0,0.0,1.0,90,129.3,1.0,1.0,0.0,0.0,0.0,0.0
mirror,0.0,4,0.8,129.3,6.025390348477004e-15,1.0,1.0,18.0,0.0,0.0,0.0,1.0,90,129.3,1.0,1.0,0.0,0.0,0.0,0.0
mirror,0.0,6,0.35,129.3,6.025390348477004e-15,1.0,1.0,18.0,0.0,0.0,0.0,1.0,90,129.3,1.0,1.0,0.0,0.0,0.0,0.0
mirror,0.0,6,0.5,129.3,6.025390348477004e-15,1.0,1.0,18.0,0.0,0.0,0.0,1.0,90,129.3,1.0,1.0,0.0,0.0,0.0,0.0
mirror,0.0,6,0.65,129.3,6.025390348477004e-15,1.0,1.0,18.0,0.0,0.0,0.0,1.0,90,129.3,1.0,1.0,0.0,0.0,0.0,0.0
mirror,0.0,6,0.8,129.3,6.025390348477004e-15,1.0,1.0,18.0,0.0,0.0,0.0,1.0,90,129.3,1.0,1.0,0.0,0.0,0.0,0.0
mirror,0.0,8,0.35,129.3,6.025390348477004e-15,1.0,1.0,18.0,0.0,0.0,0.0,1.0,90,129.3,1.0,1.0,0.0,0.0,0.0,0.0
mirror,0.0,8,0.5,129.3,6.025390348477004e-15,1.0,1.0,18.0,0.0,0.0,0.0,1.0,90,129.3,1.0,1.0,0.0,0.0,0.0,0.0
