agent,perturb_rate,repair_cost,threshold,seed,viability,survived,success,steps,hazard_hits,repairs,final_energy,mean_self_error,mean_reliability
baseline,0.0,0,-1.0,4404,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.35,4404,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.5,4404,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.65,4404,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.8,4404,129.3,1,1,18,0,0,32.0,0.0,1.0
baseline,0.0,0,-1.0,4405,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.35,4405,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.5,4405,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.65,4405,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.8,4405,129.3,1,1,18,0,0,32.0,0.0,1.0
baseline,0.0,0,-1.0,4406,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.35,4406,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.5,4406,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.65,4406,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.8,4406,129.3,1,1,18,0,0,32.0,0.0,1.0
baseline,0.0,0,-1.0,4407,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.35,4407,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.5,4407,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.65,4407,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.8,4407,129.3,1,1,18,0,0,32.0,0.0,1.0
baseline,0.0,0,-1.0,4408,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.35,4408,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.5,4408,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.65,4408,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.8,4408,129.3,1,1,18,0,0,32.0,0.0,1.0
baseline,0.0,0,-1.0,4409,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.35,4409,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.5,4409,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.65,4409,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.8,4409,129.3,1,1,18,0,0,32.0,0.0,1.0
baseline,0.0,0,-1.0,4410,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.35,4410,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.5,4410,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.65,4410,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.8,4410,129.3,1,1,18,0,0,32.0,0.0,1.0
baseline,0.0,0,-1.0,4411,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.35,4411,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.5,4411,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.65,4411,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.8,4411,129.3,1,1,18,0,0,32.0,0.0,1.0
baseline,0.0,0,-1.0,4412,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.35,4412,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.5,4412,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.65,4412,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.8,4412,129.3,1,1,18,0,0,32.0,0.0,1.0
baseline,0.0,0,-1.0,4413,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.35,4413,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.5,4413,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.65,4413,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.8,4413,129.3,1,1,18,0,0,32.0,0.0,1.0
baseline,0.0,0,-1.0,4414,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.35,4414,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.5,4414,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.65,4414,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.8,4414,129.3,1,1,18,0,0,32.0,0.0,1.0
baseline,0.0,0,-1.0,4415,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.35,4415,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.5,4415,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.65,4415,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.8,4415,129.3,1,1,18,0,0,32.0,0.0,1.0
baseline,0.0,0,-1.0,4416,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.35,4416,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.5,4416,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.65,4416,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.8,4416,129.3,1,1,18,0,0,32.0,0.0,1.0
baseline,0.0,0,-1.0,4417,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.35,4417,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.5,4417,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.65,4417,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.8,4417,129.3,1,1,18,0,0,32.0,0.0,1.0
baseline,0.0,0,-1.0,4418,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.35,4418,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.5,4418,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.65,4418,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.8,4418,129.3,1,1,18,0,0,32.0,0.0,1.0
baseline,0.0,0,-1.0,4419,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.35,4419,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.5,4419,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.65,4419,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.8,4419,129.3,1,1,18,0,0,32.0,0.0,1.0
baseline,0.0,0,-1.0,4420,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.35,4420,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.5,4420,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.65,4420,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.8,4420,129.3,1,1,18,0,0,32.0,0.0,1.0
baseline,0.0,0,-1.0,4421,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.35,4421,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.5,4421,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.65,4421,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.8,4421,129.3,1,1,18,0,0,32.0,0.0,1.0
baseline,0.0,0,-1.0,4422,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.35,4422,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.5,4422,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.65,4422,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.8,4422,129.3,1,1,18,0,0,32.0,0.0,1.0
baseline,0.0,0,-1.0,4423,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.35,4423,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.5,4423,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.65,4423,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.8,4423,129.3,1,1,18,0,0,32.0,0.0,1.0
baseline,0.0,0,-1.0,4424,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.35,4424,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.5,4424,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.65,4424,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.8,4424,129.3,1,1,18,0,0,32.0,0.0,1.0
baseline,0.0,0,-1.0,4425,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.35,4425,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.5,4425,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.65,4425,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.8,4425,129.3,1,1,18,0,0,32.0,0.0,1.0
baseline,0.0,0,-1.0,4426,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.35,4426,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.5,4426,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.65,4426,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.8,4426,129.3,1,1,18,0,0,32.0,0.0,1.0
baseline,0.0,0,-1.0,4427,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.35,4427,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.5,4427,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.65,4427,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.8,4427,129.3,1,1,18,0,0,32.0,0.0,1.0
baseline,0.0,0,-1.0,4428,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.35,4428,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.5,4428,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.65,4428,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.8,4428,129.3,1,1,18,0,0,32.0,0.0,1.0
baseline,0.0,0,-1.0,4429,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.35,4429,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.5,4429,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.65,4429,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.8,4429,129.3,1,1,18,0,0,32.0,0.0,1.0
baseline,0.0,0,-1.0,4430,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.35,4430,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.5,4430,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.65,4430,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.8,4430,129.3,1,1,18,0,0,32.0,0.0,1.0
baseline,0.0,0,-1.0,4431,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.35,4431,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.5,4431,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.65,4431,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.8,4431,129.3,1,1,18,0,0,32.0,0.0,1.0
baseline,0.0,0,-1.0,4432,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.35,4432,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.5,4432,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.65,4432,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.8,4432,129.3,1,1,18,0,0,32.0,0.0,1.0
baseline,0.0,0,-1.0,4433,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.35,4433,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.5,4433,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.65,4433,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.8,4433,129.3,1,1,18,0,0,32.0,0.0,1.0
baseline,0.0,0,-1.0,4434,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.35,4434,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.5,4434,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.65,4434,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.8,4434,129.3,1,1,18,0,0,32.0,0.0,1.0
baseline,0.0,0,-1.0,4435,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.35,4435,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.5,4435,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.65,4435,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.8,4435,129.3,1,1,18,0,0,32.0,0.0,1.0
baseline,0.0,0,-1.0,4436,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.35,4436,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.5,4436,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.65,4436,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.8,4436,129.3,1,1,18,0,0,32.0,0.0,1.0
baseline,0.0,0,-1.0,4437,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.35,4437,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.5,4437,129.3,1,1,18,0,0,32.0,0.0,1.0
