agent,perturb_rate,repair_cost,threshold,viability_mean,viability_sem,survival_rate,success_rate,mean_steps,mean_hazard_hits,mean_repairs,mean_self_error,mean_reliability,n
baseline,0.0,0,-1.0,129.3,6.025390348477004e-15,1.0,1.0,18.0,0.0,0.0,0.0,1.0,90
baseline,0.0,2,-1.0,129.3,6.025390348477004e-15,1.0,1.0,18.0,0.0,0.0,0.0,1.0,90
baseline,0.0,4,-1.0,129.3,6.025390348477004e-15,1.0,1.0,18.0,0.0,0.0,0.0,1.0,90
baseline,0.0,6,-1.0,129.3,6.025390348477004e-15,1.0,1.0,18.0,0.0,0.0,0.0,1.0,90
baseline,0.0,8,-1.0,129.3,6.025390348477004e-15,1.0,1.0,18.0,0.0,0.0,0.0,1.0,90
baseline,0.0,10,-1.0,129.3,6.025390348477004e-15,1.0,1.0,18.0,0.0,0.0,0.0,1.0,90
baseline,0.0,12,-1.0,129.3,6.025390348477004e-15,1.0,1.0,18.0,0.0,0.0,0.0,1.0,90
baseline,0.0,15,-1.0,129.3,6.025390348477004e-15,1.0,1.0,18.0,0.0,0.0,0.0,1.0,90
baseline,0.04,0,-1.0,86.51666666666668,6.758760025230345,0.6666666666666666,0.6666666666666666,27.377777777777776,0.5888888888888889,0.0,0.7385774654972516,0.8899457041967641,90
baseline,0.04,2,-1.0,77.85000000000001,6.785281907319529,0.5888888888888889,0.5666666666666667,29.355555555555554,0.5444444444444444,0.0,1.0021906207308269,0.8751339674013354,90
baseline,0.04,4,-1.0,87.95777777777779,6.373041493047439,0.6555555555555556,0.6444444444444445,28.41111111111111,0.4444444444444444,0.0,0.8896398894225039,0.8902433538931931,90
baseline,0.04,6,-1.0,81.12666666666668,6.493228548170512,0.6,0.5888888888888889,29.666666666666668,0.5222222222222223,0.0,1.0306177552000921,0.8739175491867779,90
baseline,0.04,8,-1.0,82.37111111111112,6.693190167464153,0.6111111111111112,0.6111111111111112,28.77777777777778,0.5444444444444444,0.0,0.904785365603294,0.8785478248236924,90
baseline,0.04,10,-1.0,75.61333333333334,7.008421579336383,0.5777777777777777,0.5777777777777777,28.055555555555557,0.6222222222222222,0.0,1.03320926635998,0.8812180501727284,90
baseline,0.04,12,-1.0,76.55222222222223,6.806156100792796,0.5777777777777777,0.5777777777777777,28.27777777777778,0.5888888888888889,0.0,0.9925596529429643,0.8729885799543113,90
baseline,0.04,15,-1.0,82.04,6.736019192134475,0.6222222222222222,0.6222222222222222,27.92222222222222,0.5666666666666667,0.0,0.8217411990935213,0.8825414573981439,90
baseline,0.08,0,-1.0,64.98777777777778,7.23224828807191,0.4888888888888889,0.4888888888888889,31.377777777777776,0.7888888888888889,0.0,1.5055579691308383,0.8434160913580617,90
baseline,0.08,2,-1.0,51.48,7.3407866788015586,0.4111111111111111,0.4,33.977777777777774,1.0888888888888888,0.0,1.628723840607312,0.8133098212502121,90
baseline,0.08,4,-1.0,61.205555555555556,6.940345481927908,0.43333333333333335,0.43333333333333335,34.077777777777776,0.7777777777777778,0.0,1.4662997085653529,0.831581410242141,90
baseline,0.08,6,-1.0,58.784444444444446,7.166743647545985,0.4444444444444444,0.4444444444444444,32.166666666666664,0.8888888888888888,0.0,1.5980202167692363,0.8397363996854749,90
baseline,0.08,8,-1.0,48.165555555555564,7.177041208057126,0.35555555555555557,0.34444444444444444,35.31111111111111,0.9888888888888889,0.0,1.821268043475824,0.8064669047597075,90
baseline,0.08,10,-1.0,50.471111111111114,6.7190673295396826,0.35555555555555557,0.34444444444444444,36.18888888888889,0.9333333333333333,0.0,1.7417876512916608,0.7948346758813727,90
baseline,0.08,12,-1.0,49.72555555555556,7.063236316922428,0.37777777777777777,0.35555555555555557,34.87777777777778,0.9666666666666667,0.0,1.8179474414446866,0.7978892290076703,90
baseline,0.08,15,-1.0,51.99444444444445,6.88825401307124,0.3888888888888889,0.37777777777777777,34.34444444444444,0.9111111111111111,0.0,1.8791547397985853,0.8240264146492504,90
baseline,0.12,0,-1.0,32.31111111111111,6.817463520257998,0.26666666666666666,0.26666666666666666,35.544444444444444,1.3333333333333333,0.0,2.4937558217653333,0.7753501346277993,90
baseline,0.12,2,-1.0,39.87111111111111,6.76008743534019,0.2777777777777778,0.2777777777777778,38.0,1.0555555555555556,0.0,2.785641757995976,0.7750256492469172,90
baseline,0.12,4,-1.0,29.843333333333334,6.38250222926845,0.23333333333333334,0.2222222222222222,36.24444444444445,1.1777777777777778,0.0,2.455783820419575,0.78920995433785,90
baseline,0.12,6,-1.0,33.035555555555554,6.433723244303986,0.24444444444444444,0.24444444444444444,36.46666666666667,1.1666666666666667,0.0,2.7454652663267862,0.7770241318502284,90
baseline,0.12,8,-1.0,43.93,6.875782547677487,0.3333333333333333,0.32222222222222224,34.733333333333334,1.0222222222222221,0.0,2.347130724192567,0.798017611689494,90
baseline,0.12,10,-1.0,37.14333333333333,7.136214555160067,0.3,0.3,35.44444444444444,1.2222222222222223,0.0,2.6634959143158023,0.7693348164953381,90
baseline,0.12,12,-1.0,32.471111111111114,6.7907933643988665,0.25555555555555554,0.24444444444444444,36.74444444444445,1.2444444444444445,0.0,2.9049845140343136,0.761940510324797,90
baseline,0.12,15,-1.0,33.04333333333334,6.516670843030549,0.25555555555555554,0.25555555555555554,35.18888888888889,1.1666666666666667,0.0,2.6346218822948675,0.7640782537130975,90
baseline,0.16,0,-1.0,30.99,6.303814720069807,0.2222222222222222,0.2,40.24444444444445,1.2555555555555555,0.0,3.183887688689786,0.7532688166021606,90
baseline,0.16,2,-1.0,39.175555555555555,6.938988854284027,0.3,0.28888888888888886,37.12222222222222,1.1555555555555554,0.0,2.8659924118752946,0.788434556362,90
baseline,0.16,4,-1.0,46.94555555555556,7.417179532174756,0.36666666666666664,0.35555555555555557,34.7,1.0777777777777777,0.0,2.620749202667006,0.8162176111453241,90
baseline,0.16,6,-1.0,31.457777777777782,7.186641786622797,0.2777777777777778,0.26666666666666666,34.544444444444444,1.3333333333333333,0.0,2.941510526236247,0.7920387612691464,90
baseline,0.16,8,-1.0,33.678888888888885,6.325992689430466,0.23333333333333334,0.2222222222222222,40.78888888888889,1.2555555555555555,0.0,3.213411576921759,0.7397501225118721,90
baseline,0.16,10,-1.0,33.26888888888889,6.880691042662822,0.25555555555555554,0.25555555555555554,38.06666666666667,1.3111111111111111,0.0,3.195481813343524,0.7563550448326126,90
baseline,0.16,12,-1.0,37.45777777777778,6.914592031764222,0.26666666666666666,0.26666666666666666,37.36666666666667,1.1444444444444444,0.0,2.9499162041153633,0.773814025686443,90
