condition,episode,agent,viability,success,goal_ok,role_ok,battery_ok,tool_ok,self_error,repair_cost,repairs,contradictions,gated,mean_reliability
control,0,NeuralOnly,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,0,MemoryOnly,122.7,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,13,0,0.0
control,0,PersistentSelf,122.7,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,13,0,0.0
control,0,MirrorNeuroSymbolic,119.44999999999999,1.0,1.0,1.0,1.0,1.0,0.0,4.0,2,4,3,0.7586181996721393
control,1,NeuralOnly,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,1,MemoryOnly,122.9,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,11,0,0.0
control,1,PersistentSelf,122.9,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,11,0,0.0
control,1,MirrorNeuroSymbolic,121.7,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1,2,2,0.7177515240842769
control,2,NeuralOnly,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,2,MemoryOnly,121.6,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,24,0,0.0
control,2,PersistentSelf,121.6,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,24,0,0.0
control,2,MirrorNeuroSymbolic,121.55,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1,3,3,0.6951302683360756
control,3,NeuralOnly,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,3,MemoryOnly,121.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,25,0,0.0
control,3,PersistentSelf,121.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,25,0,0.0
control,3,MirrorNeuroSymbolic,25.450000000000003,0.0,0.0,1.0,1.0,1.0,0.0,4.0,2,4,3,0.7794025943191353
control,4,NeuralOnly,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,4,MemoryOnly,123.6,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,4,0,0.0
control,4,PersistentSelf,123.6,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,4,0,0.0
control,4,MirrorNeuroSymbolic,121.85000000000001,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1,1,1,0.6852437550260511
control,5,NeuralOnly,66.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0
control,5,MemoryOnly,122.7,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,13,0,0.0
control,5,PersistentSelf,122.7,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,13,0,0.0
control,5,MirrorNeuroSymbolic,119.7,1.0,1.0,1.0,1.0,1.0,0.0,4.0,2,2,2,0.6839709492114349
control,6,NeuralOnly,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,6,MemoryOnly,122.6,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,14,0,0.0
control,6,PersistentSelf,122.6,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,14,0,0.0
control,6,MirrorNeuroSymbolic,119.65,1.0,1.0,1.0,1.0,1.0,0.0,4.0,2,3,1,0.7437174673302903
