condition,agent,mean_viability,sd_viability,success_rate,goal_accuracy,role_accuracy,tool_accuracy,mean_self_error,mean_repairs,mean_repair_cost,mean_gated,mean_contradictions,n
contradictory_instruction,MemoryOnly,117.19183333333335,17.540095850391552,0.9516666666666667,0.9708333333333333,0.9866666666666667,0.9941666666666666,0.041666666666666664,0.0,0.0,0.0,24.848333333333333,1200
contradictory_instruction,MirrorNeuroSymbolic,110.13066666666666,16.731159383043547,0.95,0.9775,0.985,0.9866666666666667,0.03333333333333333,2.7783333333333333,8.335,9.906666666666666,11.04,1200
contradictory_instruction,NeuralOnly,82.755,48.56705612639068,0.5558333333333333,0.7458333333333333,0.8641666666666666,0.8566666666666667,0.285,0.0,0.0,0.0,0.0,1200
contradictory_instruction,PersistentSelf,116.54183333333334,18.43122056589071,0.9441666666666667,0.9691666666666666,0.9833333333333333,0.9908333333333333,0.051666666666666666,0.0,0.0,0.0,24.848333333333333,1200
control,MemoryOnly,122.59591666666667,2.800984277087127,0.9983333333333333,1.0,0.9991666666666666,0.9991666666666666,0.005833333333333334,0.0,0.0,0.0,11.940833333333334,1200
control,MirrorNeuroSymbolic,117.33254166666666,15.605314735582693,0.96,0.9775,0.9883333333333333,0.9941666666666666,0.019166666666666665,1.5616666666666668,3.1233333333333335,2.7508333333333335,3.1491666666666664,1200
control,NeuralOnly,111.515,28.534656656869696,0.8475,0.9383333333333334,0.9491666666666667,0.9475,0.11666666666666667,0.0,0.0,0.0,0.0,1200
control,PersistentSelf,122.55258333333335,3.0045409047133393,0.9983333333333333,1.0,0.9991666666666666,0.9991666666666666,0.0075,0.0,0.0,0.0,11.940833333333334,1200
false_self_state,MemoryOnly,110.08216666666667,17.509839920758775,0.8625,1.0,0.8658333333333333,0.9966666666666667,0.37333333333333335,0.0,0.0,0.0,24.078333333333333,1200
false_self_state,MirrorNeuroSymbolic,102.78329166666667,18.18579724490492,0.9483333333333334,0.9841666666666666,0.9775,0.9866666666666667,0.21083333333333334,2.9525,11.81,8.7675,9.55,1200
false_self_state,NeuralOnly,85.49,42.41421583330243,0.5441666666666667,0.885,0.69,0.8816666666666667,0.6583333333333333,0.0,0.0,0.0,0.0,1200
false_self_state,PersistentSelf,106.86550000000001,18.654480725175343,0.8458333333333333,1.0,0.8483333333333334,0.9975,0.49083333333333334,0.0,0.0,0.0,24.078333333333333,1200
goal_drift,MemoryOnly,102.78383333333333,37.04951723813062,0.7891666666666667,0.8183333333333334,0.9733333333333334,0.9925,0.0375,0.0,0.0,0.0,24.095,1200
goal_drift,MirrorNeuroSymbolic,87.380375,41.24091438679462,0.7425,0.7675,0.9816666666666667,0.9841666666666666,0.04833333333333333,2.6825,10.73,10.179166666666667,11.306666666666667,1200
goal_drift,NeuralOnly,87.37166666666667,44.81654046374141,0.5625,0.8,0.8166666666666667,0.8725,0.31666666666666665,0.0,0.0,0.0,0.0,1200
goal_drift,PersistentSelf,103.02216666666668,36.895706429515634,0.795,0.8225,0.975,0.9925,0.04416666666666667,0.0,0.0,0.0,24.095,1200
high_repair_cost,MemoryOnly,100.76575,27.18381230893131,0.6941666666666667,0.9991666666666666,0.8341666666666666,0.8358333333333333,0.3383333333333333,0.0,0.0,0.0,28.475833333333334,1200
